Date,Symbol,Open,High,Low,Last,Close,Turnover,Trades
08-02-2022,ADANIENT,1739.4,1747,1677.05,1712,1716,2.54066E+14,38936
09-02-2022,ADANIENT,1724.6,1791.9,1718.1,1784,1783.15,2.95769E+14,44563
10-02-2022,ADANIENT,1799,1809,1766,1781,1786.1,3.12692E+14,44387
11-02-2022,ADANIENT,1764,1774.9,1743.35,1758.95,1764.3,2.10577E+14,34655
14-02-2022,ADANIENT,1736.3,1737.9,1653,1660,1663.95,3.26011E+14,52289
15-02-2022,ADANIENT,1636,1751.4,1627.85,1739.9,1744.25,3.82416E+14,63405
16-02-2022,ADANIENT,1744.25,1776,1730,1734,1738.1,2.92174E+14,38159
17-02-2022,ADANIENT,1750,1762,1724,1731,1730.95,1.88187E+14,27297
18-02-2022,ADANIENT,1739,1754.6,1725,1735.35,1736.3,1.64862E+14,23552
21-02-2022,ADANIENT,1738.8,1738.8,1671.3,1679,1685.2,2.46477E+14,37180
22-02-2022,ADANIENT,1636.1,1678.9,1630,1666,1667.7,2.84516E+14,46698
23-02-2022,ADANIENT,1682,1717.5,1670,1692,1688.7,2.18235E+14,34509
24-02-2022,ADANIENT,1626,1648.6,1528.8,1555,1543.95,4.46883E+14,88960
25-02-2022,ADANIENT,1594,1638.1,1578.8,1620,1618.7,2.81949E+14,44055
28-02-2022,ADANIENT,1603.75,1651.1,1592.25,1639,1644.45,3.04088E+14,40203
02-03-2022,ADANIENT,1638,1664.25,1615.5,1647,1641.8,2.05976E+14,30797
03-03-2022,ADANIENT,1670,1678.2,1634.95,1643.8,1643.8,2.21099E+14,35854
04-03-2022,ADANIENT,1621.8,1655.5,1601.2,1611,1615,2.33005E+14,35706
07-03-2022,ADANIENT,1590,1592,1539.3,1568.9,1564.05,2.36073E+14,41888
08-03-2022,ADANIENT,1574.9,1607.4,1553.4,1602,1601.6,2.21394E+14,38500
09-03-2022,ADANIENT,1609.6,1669.95,1608,1660,1656.55,2.45898E+14,38209
10-03-2022,ADANIENT,1682,1749.6,1678.25,1733,1742.85,3.95416E+14,57105
11-03-2022,ADANIENT,1750,1757,1721.2,1731,1734.1,2.35285E+14,37195
14-03-2022,ADANIENT,1732,1752.45,1722.45,1734,1736.1,1.14377E+14,24530
15-03-2022,ADANIENT,1740,1754.2,1686.65,1698.35,1701.4,1.87096E+14,36494
16-03-2022,ADANIENT,1724,1764,1718.65,1755.65,1758,2.22326E+14,38410
17-03-2022,ADANIENT,1775.6,1823.6,1760,1820,1819.65,4.30151E+14,50563
21-03-2022,ADANIENT,1836.05,1841.9,1796.15,1805,1802.95,1.95951E+14,28646
22-03-2022,ADANIENT,1802.95,1837,1790,1832,1831.55,1.75015E+14,28508
23-03-2022,ADANIENT,1848.05,1848.05,1800.85,1806.1,1811,2.83302E+14,29291
24-03-2022,ADANIENT,1815,1839.55,1800.15,1828,1832.8,1.8791E+14,24187
25-03-2022,ADANIENT,1835.55,1878,1822,1865.35,1867,2.53173E+14,31398
28-03-2022,ADANIENT,1876.9,1924.4,1851.05,1910,1909.7,3.58172E+14,54516
29-03-2022,ADANIENT,1919.25,1930.9,1885.5,1912.6,1917.25,3.28217E+14,47960
30-03-2022,ADANIENT,1927.7,2015,1917.3,1990,1995.25,6.34949E+14,92339
31-03-2022,ADANIENT,2005,2042,1991,2017,2014.75,5.6101E+14,65607
01-04-2022,ADANIENT,2018,2049,2013.05,2038,2043.65,2.57609E+14,35975
04-04-2022,ADANIENT,2050,2075.5,2032,2064.5,2065.85,2.74845E+14,38268
05-04-2022,ADANIENT,2078,2189.8,2067.6,2131,2139.85,1.0615E+15,141587
06-04-2022,ADANIENT,2153.75,2182.85,2124.2,2154.95,2160,4.88075E+14,66425
07-04-2022,ADANIENT,2165.95,2214.95,2081.25,2102,2099.05,7.51748E+14,104450
08-04-2022,ADANIENT,2115,2176,2105.25,2172,2170.95,4.12743E+14,58553
11-04-2022,ADANIENT,2181.85,2200,2158.5,2180,2180.2,3.52069E+14,53060
12-04-2022,ADANIENT,2188,2219,2155,2198.5,2196.95,5.7701E+14,81123
13-04-2022,ADANIENT,2210,2217.15,2173.45,2196,2199.45,2.18202E+14,32919
18-04-2022,ADANIENT,2179.8,2240,2156.75,2233.8,2233.85,3.85026E+14,60523
19-04-2022,ADANIENT,2245,2255,2140.1,2145,2168.3,3.63325E+14,50660
20-04-2022,ADANIENT,2178,2207.95,2161.9,2194,2183.95,2.44689E+14,36160
21-04-2022,ADANIENT,2216,2293.55,2203.9,2289.9,2286.35,5.06986E+14,67163
22-04-2022,ADANIENT,2297,2306,2265,2271.15,2273.3,4.08523E+14,54304
25-04-2022,ADANIENT,2259.95,2295,2242.6,2286,2284.2,3.82328E+14,46767
26-04-2022,ADANIENT,2297,2413.9,2295.1,2394,2395.3,7.57986E+14,102957
27-04-2022,ADANIENT,2404.95,2420.95,2325,2338,2334.1,6.06231E+14,79776
28-04-2022,ADANIENT,2359.85,2389.9,2336.3,2380,2378.55,3.97739E+14,54350
29-04-2022,ADANIENT,2389,2394.15,2301.5,2337,2332,4.49248E+14,59115
02-05-2022,ADANIENT,2325,2362.3,2311,2335.7,2339.5,2.35191E+14,35283
04-05-2022,ADANIENT,2358.7,2362.9,2233.05,2248,2253.8,3.99222E+14,64692
05-05-2022,ADANIENT,2270,2303.8,2236,2247.9,2255.4,3.71489E+14,45604
06-05-2022,ADANIENT,2210,2262,2200,2247.5,2247.7,2.59141E+14,39427
09-05-2022,ADANIENT,2229.5,2244.2,2180,2187.5,2197.65,3.20599E+14,42562
10-05-2022,ADANIENT,2190,2220,2097.5,2097.75,2109.5,3.16856E+14,46580
11-05-2022,ADANIENT,2109.6,2157.75,2077,2124.5,2119.3,2.95944E+14,47473
12-05-2022,ADANIENT,2103,2113.6,2011.05,2053,2045.2,3.1936E+14,48422
13-05-2022,ADANIENT,2084.5,2135,2035.3,2055,2054.15,3.23889E+14,57091
16-05-2022,ADANIENT,2082.65,2141.95,2057.65,2112.5,2105.9,3.67336E+14,61264
17-05-2022,ADANIENT,2133.05,2192.25,2119.4,2183.05,2184.85,2.28315E+14,37030
18-05-2022,ADANIENT,2199.7,2216.9,2172,2185,2181.1,2.84336E+14,45269
19-05-2022,ADANIENT,2145,2154.75,2097.6,2121.9,2114.75,2.0966E+14,32998
20-05-2022,ADANIENT,2159,2232.4,2151,2227,2219.55,3.17459E+14,40458
23-05-2022,ADANIENT,2231.75,2245,2155.65,2159.7,2170.65,3.19826E+14,46776
24-05-2022,ADANIENT,2161,2178.9,2142.55,2165,2160.2,2.18299E+14,26813
25-05-2022,ADANIENT,2168,2181.45,2066.2,2071,2074.15,2.92378E+14,34793
26-05-2022,ADANIENT,2077,2088,1906.2,2052,2046.4,9.90048E+14,119283
